,Date,Index_Component_Count,Internal_Number,ISIN,SEDOL,Instrument_Name,Country,Currency,ICB,Mcap_Units_Index_Currency,InfoCode,Close_USD_Cutoff,shares_Cutoff,freeFloat_Cutoff,Free_Float,Capfactor,Free_Float_Market_Cutoff,Full_Market_Cap_Cutoff,FOR_FF,Weight
173727,2023-12-18,2027,AE23IB,AEE001901017,BDG197,EMAAR DEVELOPMENT PJSC,AE,AED,35101010.0,1620601093.0,302129.0,1.859892021382,4000000000.0,0.2084,0.2084,1.0,1550405989.024035,7439568085.527999,0.21,0.001176440272053258
173731,2023-12-18,2027,AE301S,AEE01110S227,BJN595,SALIK COMPANY,AE,AED,50206060.0,1581398066.0,358090.0,0.87139889728,7500000000.0,0.25,0.249,1.0,1627337440.6704,6535491729.599999,0.25,0.0011479816834786844
173730,2023-12-18,2027,AE20XN,AEN000401010,662583,NATMARINE DREDGING CO,AE,AED,50101010.0,1515194360.0,160475.0,7.510369245931999,825000000.0,0.2489,0.2489,1.0,1542197996.8827915,6196054627.893899,0.25,0.0010999225366386705
177547,2023-12-18,2027,BR00FH,BRBRFSACNOR8,203699,BRF SA,BR,BRL,45102020.0,2008330179.0,55.0,2.972263047892,1682473246.0,0.5413,0.4243,1.0,2121819522.5741937,5000753058.152707,0.42,0.0014579038064091495
175404,2023-12-18,2027,IN10BH,INE811K01011,B4T3LF,Prestge Ests,IN,INR,35101010.0,2411625029.0,242999.0,12.03446677316,400861654.0,0.4387,0.4387,1.0,2116357349.3742564,4824156255.69696,0.44,0.0017506669700902183
173729,2023-12-18,2027,AE303U,AEE01134E227,BPYSVC,EMIRATES CENTRAL COOLING SYSTEMS,AE,AED,50101025.0,925761600.0,359283.0,0.4493150564099999,10000000000.0,0.2,0.2,1.0,898630112.8199999,4493150564.099999,0.2,0.0006720365876986727
177562,2023-12-18,2027,EG8013,EGS39061C014,BWSW8F,MISR FRETILIZERS,EG,EGP,55201015.0,645130426.0,281849.0,17.9288646664,229117232.0,0.1662,0.1662,1.0,682718328.68357,4107811845.2681713,0.17,0.00046831846353276166
175514,2023-12-18,2027,IN104A,INE002L01015,B3Y50F,Satluj Jal Vid,IN,INR,65101010.0,800412581.0,231544.0,1.017821382728,3929795175.0,0.1323,0.1815,1.0,725969064.9324225,3999829558.856323,0.18,0.0005810421815792829
177457,2023-12-18,2027,ZA00MV,ZAE000015228,641056,HARMONY GOLD MNG.,ZA,ZAR,55103025.0,2068135802.0,47478.0,6.17045526658,618071972.0,0.776,0.7524,0.7448494,2137339525.7145443,3813785454.7528863,0.56,0.0015013184034351154
177679,2023-12-18,2027,MX024P,MX01PI000005,239338,Promotora y Opr,MX,MXN,50101010.0,1960726393.0,28336.0,9.848335199976,380123523.0,0.4959,0.4959,0.9881024,1834356022.958192,3743583871.8997874,0.49,0.001423346868742932
175727,2023-12-18,2027,TW117Y,TW0003036000,629099,WT Microelectron,TW,TWD,10102010.0,2020665988.0,21398.0,3.7932152649,974289925.0,0.5228,0.5546,1.0,2049630459.284914,3695691415.948277,0.55,0.0014668587198413579
177677,2023-12-18,2027,MX11M7,MX01Q0000008,BYMXF6,QUALITAS CONTROLADORA,MX,MXN,30302025.0,1933196338.0,262309.0,9.14718531258,400000000.0,0.4996,0.4947,1.0,1810045029.6533303,3658874125.032001,0.49,0.0014033620214330448
175417,2023-12-18,2027,IN11IP,INE342J01019,B3DGKJ,ZF COMMERCIAL VEHICLE CNTRL IN,IN,INR,40101025.0,885145435.0,169695.0,192.2444911392,18967584.0,0.25,0.25,1.0,911603383.555008,3646413534.220032,0.25,0.0006425521621921424
175690,2023-12-18,2027,IN616I,INE930H01031,BMDP7V,KPR MILL,IN,INR,55101020.0,1255340462.0,138790.0,10.377868940645,341814000.0,0.3589,0.3589,1.0,1273126290.8844616,3547300894.0776305,0.36,0.000911287226087748
175390,2023-12-18,2027,IN047G,INE061F01013,B1XC09,Fortis Healthcar,IN,INR,20101010.0,2453339822.0,74883.0,4.620846722835,754958148.0,0.6883,0.6883,1.0,2401166132.0008254,3488545884.063381,0.6900000000000001,0.001780948920804394
173735,2023-12-18,2027,AE22B3,AEA003001012,B23DL4,AIR ARABIA,AE,AED,40501010.0,932391530.0,157756.0,0.7325196980259999,4666700000.0,0.5612,0.5612,0.4878831,935971506.3232336,3418449674.777933,0.27,0.0006768494418221112
177403,2023-12-18,2027,SA238F,SA121053DR18,B2QG18,SAUDI MOBILE TELECOM,SA,SAR,15102015.0,1230394261.0,150009.0,3.75850810062,898729175.0,0.6295,0.6295,0.5803018,1233939830.022039,3377880884.501029,0.37,0.0008931780716401179
175706,2023-12-18,2027,IN50Y8,INE823G01014,B0CJ80,JK CEMENT,IN,INR,50101030.0,1627973113.0,30348.0,43.70228592545,77268251.0,0.4976,0.4455,1.0,1504364042.7809207,3376799198.161438,0.45,0.0011817918303434769
177674,2023-12-18,2027,MX802T,MX01GC2M0006,294666,GCC,MX,MXN,50101030.0,1907400974.0,27964.0,9.813795796656,337400000.0,0.4912,0.4912,1.0,1626449013.5201,3311174701.791734,0.49,0.0013846364354927713
175407,2023-12-18,2027,IN01TZ,INE438A01022,616890,Apollo Tyres,IN,INR,40101015.0,1738223806.0,31744.0,5.12867819737,635100946.0,0.502,0.502,1.0,1635128644.1893897,3257228374.879262,0.5,0.0012618259336322005
175400,2023-12-18,2027,IN0BN3,INE741K01010,BYVKG5,CREDITACCESS GRAMEEN,IN,INR,30201020.0,895604425.0,308329.0,20.38520677,159080446.0,0.2763,0.2766,1.0,896982761.2684385,3242887784.7738194,0.28,0.0006501446395106817
177604,2023-12-18,2027,EG20EA,EGS38191C010,600547,ABOU KIR FERTILIZERS,EG,EGP,55201015.0,715702515.0,43449.0,2.56797005646,1261875720.0,0.2244,0.2244,1.0,727159013.9467678,3240459063.933903,0.22,0.0005195487434215873
175555,2023-12-18,2027,IN06S3,INE115A01026,610102,LIC Housing,IN,INR,30201025.0,1927272506.0,43221.0,5.88412997767,550063000.0,0.5476,0.5476,1.0,1772385262.097924,3236642187.907093,0.55,0.0013990617438633334
177482,2023-12-18,2027,BR02Y2,BREMBRACNOR4,B16FPG,Embraer,BR,BRL,50201010.0,3318100803.0,30.0,4.3590488083,740465044.0,0.9463,0.9463,1.0,3054394528.1639533,3227723267.636007,0.95,0.0024087034300065437
177549,2023-12-18,2027,BR02JN,BRCPLEACNPB9,220015,COPEL - CIA PR DE ENERGIA,BR,BRL,65101010.0,2085044023.0,44790.0,1.917981475652,1679335290.0,0.6192,0.6192,1.0,1994402318.9476783,3220933977.62868,0.62,0.0015135925603507782
175406,2023-12-18,2027,IN0A1G,INE424H01027,B128WL,Sun TV network,IN,INR,40301035.0,820746521.0,30343.0,8.09532534731,394084620.0,0.25,0.25,1.0,797560803.3177574,3190243213.271029,0.25,0.0005958031650247721
173732,2023-12-18,2027,AE2280,AED000901010,B1GPBP,DUBAI FINANCIAL MARKET,AE,AED,30202015.0,585573580.0,162093.0,0.3975757468839999,8000000000.0,0.1934,0.1934,1.0,615129195.5789247,3180605975.0719995,0.19,0.0004250844607830955
177686,2023-12-18,2027,MX406T,MX01VE0M0003,B8F6ZF,VESTA,MX,MXN,35101010.0,3313468716.0,262359.0,3.768824558934,841986436.0,1.0,1.0,1.0,3173299158.2861104,3173299158.2861104,1.0,0.0024053408667490017
175436,2023-12-18,2027,IN50W6,INE387A01021,673089,SUNDRAM FASTENERS,IN,INR,40101025.0,1646715669.0,26500.0,14.945953951840002,210128370.0,0.5164,0.5164,1.0,1621789801.6463203,3140568941.9951982,0.52,0.0011953975830329287
175419,2023-12-18,2027,IN80DQ,INE298J01013,BF29PR,NIPPON LIFE INDIA ASSET MGM,IN,INR,30202010.0,683801871.0,301645.0,5.0243539039,623651704.0,0.2028,0.2043,1.0,640163196.2900225,3133446873.666287,0.2,0.0004963911616649556
175588,2023-12-18,2027,IN811F,INE878B01027,B1L9PJ,KEI INDUSTRIES,IN,INR,50202010.0,2445396733.0,30358.0,34.525945054425,90192438.0,0.74,0.7403,1.0,2305278771.1949625,3113979158.7126336,0.74,0.0017751828073391705
175492,2023-12-18,2027,IN30KS,INE474Q01031,BN960L,GLOBAL HEALTH,IN,INR,20101010.0,991376097.0,359334.0,11.50924791638,268360382.0,0.3276,0.3318,1.0,1024806162.3341758,3088626167.372441,0.33,0.0007196680110234734
175715,2023-12-18,2027,IN18V9,INE732I01013,BMCMVV,ANGEL ONE,IN,INR,30202015.0,1752788516.0,330348.0,36.77611214289,83858307.0,0.4924,0.5173,1.0,1595344148.4630153,3083982502.3448973,0.52,0.00127239886948223
177682,2023-12-18,2027,MX504S,MX01OM000018,B1KFX1,GRUPO AERO DEL CENTRO 'B',MX,MXN,50206060.0,1083477224.0,33345.0,8.943402832992001,340345556.0,0.808,0.808,0.3662669,900807328.3055532,3043847409.726638,0.3,0.0007865268298730369
177398,2023-12-18,2027,SA23GN,SA1230K1UGH7,B3BQB9,ABDULLAH AL OTHAIM MKTS,SA,SAR,45201010.0,1288068778.0,152916.0,3.35866681332,900000000.0,0.6633,0.6633,0.6151063,1233302480.4215171,3022800131.988,0.41,0.0009350456384109248
175697,2023-12-18,2027,IN60U5,INE410P01011,BD0CSH,NARAYANA HRUDAYALAYA,IN,INR,20101010.0,1090532857.0,287254.0,14.70852624946,204360804.0,0.3758,0.3758,1.0,1129597020.748027,3005846249.99475,0.38,0.000791648713871438
177506,2023-12-18,2027,BR906H,BRALOSACNOR5,BMHVKZ,ALLOS,BR,BRL,35101010.0,2523305791.0,248825.0,5.186254349596,573936909.0,0.8139,0.8139,1.0,2422640733.3466067,2976582790.694934,0.81,0.001831739201003736
