RIC;Name;Country;ISO;Weight
003240.KS;TAEKWANG INDUSTRIAL CO LTD ORD;KOREA;KR;0.000082
001390.KS;KG CHEMICAL CORP ORD;KOREA;KR;0.000153
BAFSn.BK;BANGKOK AVIAT NVDR;THAILAND;TH;0.000167
SANO.NS;SANOFI INDIA LTD ORD;INDIA;IN;0.000734
6196.TW;MARKETECH INTERNATIONAL CORP ORD;TAIWAN;TW;0.000282
GSFC.NS;GUJARAT STATE FERTILIZERS & CHEMICALS LTD ORD;INDIA;IN;0.000483
2170.SE;ALUJAIN CORP ORD;SAUDI ARABIA;SA;0.000335
BLOOM.PS;BLOOMBERRY RESORTS CORP ORD;PHILIPPINES;PH;0.000694
TVSH.NS;TVS HOLDINGS LTD ORD;INDIA;IN;0.000396
4020.SE;SAUDI REAL ESTATE COMPANY SJSC ORD;SAUDI ARABIA;SA;0.00053
IFCI.NS;IFCI LTD ORD;INDIA;IN;0.000185
KAJR.NS;KAJARIA CERAMICS LTD ORD;INDIA;IN;0.001239
GMDC.NS;GUJARAT MINERAL DEVELOPMENT CORPORATION LTD ORD;INDIA;IN;0.000356
CHOL.NS;CHOLAMANDALAM FINANCIAL HOLDINGS LTD ORD;INDIA;IN;0.001021
ESAB.NS;ESAB INDIA LTD ORD;INDIA;IN;0.000286
FED.NS;FEDERAL BANK LTD ORD;INDIA;IN;0.002866
PROR.NS;PROCTER & GAMBLE HEALTH LTD ORD;INDIA;IN;0.000357
AISG.NS;ASAHI INDIA GLASS LTD ORD;INDIA;IN;0.000436
VIPI.NS;V I P INDUSTRIES LTD ORD;INDIA;IN;0.00043
CRBR.NS;CARBORUNDUM UNIVERSAL LTD ORD;INDIA;IN;0.001243
SKFB.NS;SKF INDIA LTD ORD;INDIA;IN;0.00112
ALOK.NS;ALOK INDUSTRIES LTD ORD;INDIA;IN;0.00033
NEUL.NS;NEULAND LABORATORIES LTD ORD;INDIA;IN;0.000376
AEGS.NS;AEGIS LOGISTICS LTD ORD;INDIA;IN;0.000501
2030.SE;SAUDI ARABIAN REFINERIES COMPANY SJSC ORD;SAUDI ARABIA;SA;0.000091
3060.SE;YANBU CEMENT COMPANY SJSC ORD;SAUDI ARABIA;SA;0.000605
3218.TWO;UNIVERSAL VISION BIOTECHNOLOGY CO LTD ORD;TAIWAN;TW;0.000349
NREK.KW;NATIONAL REAL ESTATE CO KSCP ORD;KUWAIT;KW;0.000247
007340.KS;DN AUTOMOTIVE CORP ORD;KOREA;KR;0.000116
MAJORn.BK;MAJOR CINEPLEX NVDR;THAILAND;TH;0.000076
WHIR.NS;WHIRLPOOL OF INDIA LTD ORD;INDIA;IN;0.000473
2230.SE;SAUDI CHEMICAL HOLDING COMPANY SJSC ORD;SAUDI ARABIA;SA;0.000386
6139.TW;L & K ENGINEERING CO LTD ORD;TAIWAN;TW;0.000822
ANSGR.IS;ANADOLU ANONIM TURK SIGORTA STI ORD;TURKEY;TR;0.000357
FRAS.KL;FRASER & NEAVE HOLDINGS BHD ORD;MALAYSIA;MY;0.000723
BATO.KL;BRITISH AMERICAN TOBACCO (MALAYSIA) BHD ORD;MALAYSIA;MY;0.000228
1513.TW;CHUNG-HSIN ELECTRIC & MACHINERY MFG CORP ORD;TAIWAN;TW;0.001196
1717.TW;ETERNAL MATERIALS CO LTD ORD;TAIWAN;TW;0.000673
PMAS.KL;PENTAMASTER CORPORATION BHD ORD;MALAYSIA;MY;0.000408
064760.KQ;TOKAI CARBON KOREA CO LTD ORD;KOREA;KR;0.000408
074600.KQ;WONIK QNC CORP ORD;KOREA;KR;0.000286
TURSG.IS;TURKIYE SIGORTA AS ORD;TURKEY;TR;0.000283
1319.TW;TONG YANG INDUSTRY CO LTD ORD;TAIWAN;TW;0.00084
GNDJ.J;GRINDROD LTD ORD;SOUTH AFRICA;ZA;0.000335
STIK.KL;SCIENTEX BHD ORD;MALAYSIA;MY;0.000458
ECOW.KL;ECO WORLD DEVELOPMENT GROUP BHD ORD;MALAYSIA;MY;0.000156
9925.TW;TAIWAN SHIN KONG SECURITY CO LTD ORD;TAIWAN;TW;0.000226
2383.TW;ELITE MATERIAL CO LTD ORD;TAIWAN;TW;0.002823
2031.TW;HSIN KUANG STEEL CO LTD ORD;TAIWAN;TW;0.000381
2501.TW;CATHAY REAL ESTATE DEVELOPMENT CO LTD ORD;TAIWAN;TW;0.000372
2104.TW;INTERNATIONAL CSRC INVESTMENT HOLDINGS CO LTD ORD;TAIWAN;TW;0.000453
2010.TW;CHUN YUAN STEEL INDUSTRY CO LTD ORD;TAIWAN;TW;0.000269
1312.TW;GRAND PACIFIC PETROCHEMICAL CORP ORD;TAIWAN;TW;0.000466
1229.TW;LIEN HWA INDUSTRIAL HOLDINGS CORP ORD;TAIWAN;TW;0.001702
LTG.PS;LT GROUP INC ORD;PHILIPPINES;PH;0.000273
2371.TW;TATUNG CO ORD;TAIWAN;TW;0.001764
2006.TW;TUNG HO STEEL ENTERPRISE CORP ORD;TAIWAN;TW;0.000985
1104.TW;UNIVERSAL CEMENT CORP ORD;TAIWAN;TW;0.000397
SPGJ.J;SUPER GROUP LTD ORD;SOUTH AFRICA;ZA;0.000494
2388.TW;VIA TECHNOLOGIES INC ORD;TAIWAN;TW;0.000715
2457.TW;PHIHONG TECHNOLOGY CO LTD ORD;TAIWAN;TW;0.000501
RDFJ.J;REDEFINE PROPERTIES LTD ORD;SOUTH AFRICA;ZA;0.001231
8926.TW;TAIWAN COGENERATION CORP ORD;TAIWAN;TW;0.000535
2313.TW;COMPEQ MANUFACTURING CO LTD ORD;TAIWAN;TW;0.001893
5483.TWO;SINO-AMERICAN SILICON PRODUCTS INC ORD;TAIWAN;TW;0.002705
3705.TW;YUNGSHIN GLOBAL HOLDING CORP ORD;TAIWAN;TW;0.000132
008930.KS;HANMI SCIENCE CO LTD ORD;KOREA;KR;0.000596
010780.KS;IS DONGSEO CO LTD ORD;KOREA;KR;0.000302
002710.KS;TCC STEEL CORP ORD;KOREA;KR;0.000623
003620.KS;KG MOBILITY CORP ORD;KOREA;KR;0.00024
056190.KQ;SFA ENGINEERING CORP ORD;KOREA;KR;0.000297
058610.KQ;SPG CO LTD ORD;KOREA;KR;0.000369
048410.KQ;HYUNDAI BIOSCIENCE CO LTD ORD;KOREA;KR;0.000588
007390.KQ;NATURECELL CO LTD ORD;KOREA;KR;0.000285
025900.KQ;DONGWHA ENTERPRISE CO LTD ORD;KOREA;KR;0.000203
006360.KS;GS ENGINEERING & CONSTRUCTION CORP ORD;KOREA;KR;0.000704
033240.KS;JAHWA ELECTRONICS CO LTD ORD;KOREA;KR;0.000301
041510.KQ;SM ENTERTAINMENT CO LTD ORD;KOREA;KR;0.000711
000990.KS;DB HITEK CO LTD ORD;KOREA;KR;0.001268
MALY.KL;MALAYAN CEMENT BHD ORD;MALAYSIA;MY;0.000203
KARU.NS;KARUR VYSYA BANK LTD ORD;INDIA;IN;0.000702
4123.TWO;CENTER LABORATORIES INC ORD;TAIWAN;TW;0.000619
DPFE.NS;DEEPAK FERTILISERS AND PETROCHEMICALS CORP LTD ORD;INDIA;IN;0.000453
THOM.NS;THOMAS COOK (INDIA) LTD ORD;INDIA;IN;0.000161
ICMN.NS;INDIA CEMENTS LTD ORD;INDIA;IN;0.000355
GWCS.QA;GULF WAREHOUSING COMPANY QPSC ORD;QATAR;QA;0.000128
TRIE.NS;TRIDENT LTD ORD;INDIA;IN;0.000425
GRWL.NS;GARWARE TECHNICAL FIBRES LTD ORD;INDIA;IN;0.000302
ELCN.NS;ELECON ENGINEERING COMPANY LTD ORD;INDIA;IN;0.000397
6070.SE;AL JOUF AGRICULTURAL DEVELOPMENT COMPANY SJSC ORD;SAUDI ARABIA;SA;0.000099
2362.HK;JINCHUAN GROUP INTERNATIONAL RESOURCES CO LTD ORD;HONG KONG;HK;0.00015
ENGI.NS;ENGINEERS INDIA LTD ORD;INDIA;IN;0.000371
FINX.NS;FINOLEX INDUSTRIES LTD ORD;INDIA;IN;0.000525
2897.TW;O BANK CO LTD ORD;TAIWAN;TW;0.000306
CORF.NS;COROMANDEL INTERNATIONAL LTD ORD;INDIA;IN;0.001517
1565.TWO;ST.SHINE OPTICAL CO LTD ORD;TAIWAN;TW;0.000247
049770.KS;DONGWON F & B CO LTD ORD;KOREA;KR;0.000147
SPALIn.BK;SUPALAI PUB NVDR;THAILAND;TH;0.000627
2190.SE;SUSTAINED INFRASTRUCTURE HOLDING COMPANY SJSC ORD;SAUDI ARABIA;SA;0.000287
006650.KS;KOREA PETRO CHEMICAL IND CO LTD ORD;KOREA;KR;0.000361
AGI.PS;ALLIANCE GLOBAL GROUP INC ORD;PHILIPPINES;PH;0.000539
TREI.NS;TRIVENI ENGINEERING AND INDUSTRIES LTD ORD;INDIA;IN;0.000278
HCNS.NS;HINDUSTAN CONSTRUCTION COMPANY LTD ORD;INDIA;IN;0.000311
3293.TWO;INTERNATIONAL GAMES SYSTEM CO LTD ORD;TAIWAN;TW;0.002391
HIMD.NS;HIMADRI SPECIALITY CHEMICAL LTD ORD;INDIA;IN;0.00056
EIDP.NS;E I D-PARRY (INDIA) LTD ORD;INDIA;IN;0.000469
005290.KQ;DONGJIN SEMICHEM CO LTD ORD;KOREA;KR;0.000897
ELST.NS;ELECTROSTEEL CASTINGS LTD ORD;INDIA;IN;0.000341
CESC.NS;CESC LTD ORD;INDIA;IN;0.000826
GDFR.NS;GODFREY PHILLIPS INDIA LTD ORD;INDIA;IN;0.000268
IPCA.NS;IPCA LABORATORIES LTD ORD;INDIA;IN;0.001608
8299.TWO;PHISON ELECTRONICS CORP ORD;TAIWAN;TW;0.002331
KRFI.BO;KIRLOSKAR FERROUS INDUSTRIES LTD ORD;INDIA;IN;0.000189
RALL.NS;RALLIS INDIA LTD ORD;INDIA;IN;0.000215
HFCL.NS;HFCL LTD ORD;INDIA;IN;0.000579
COFO.NS;COFORGE LTD ORD;INDIA;IN;0.003752
2128.HK;CHINA LESSO GROUP HOLDINGS LTD ORD;CHINA;CN;0.000463
1361.HK;361 DEGREES INTERNATIONAL LTD ORD;CHINA;CN;0.000322
1238.HK;POWERLONG REAL ESTATE HOLDINGS LTD ORD;CHINA;CN;0.000064
1717.HK;AUSNUTRIA DAIRY CORP LTD ORD;CHINA;CN;0.000109
3377.HK;SINO-OCEAN GROUP HOLDING LTD ORD;CHINA;CN;0.000159
028670.KS;PAN OCEAN CO LTD ORD;KOREA;KR;0.000652
0410.HK;SOHO CHINA LTD ORD;CHINA;CN;0.000181
095340.KQ;ISC CO LTD ORD;KOREA;KR;0.000615
095500.KQ;MNTECH CO LTD ORD;KOREA;KR;0.000331
1666.HK;TONG REN TANG TECHNOLOGIES CO LTD ORD;CHINA;CN;0.000416
3592.TW;RAYDIUM SEMICONDUCTOR CORP ORD;TAIWAN;TW;0.000614
8358.TWO;CO-TECH DEVELOPMENT CORP ORD;TAIWAN;TW;0.000322
RELG.NS;RELIGARE ENTERPRISES LTD ORD;INDIA;IN;0.000179
MALD.NS;MAHINDRA LIFESPACE DEVELOPERS LTD ORD;INDIA;IN;0.000497
CERA.NS;CERA SANITARYWARE LTD ORD;INDIA;IN;0.000504
BJEL.NS;BAJAJ ELECTRICALS LTD ORD;INDIA;IN;0.000384
MEGACPO.MX;MEGACABLE HOLDINGS SAB DE CV;MEXICO;MX;0.000564
ACES.JK;ACE HARDWARE INDONESIA TBK PT ORD;INDONESIA;ID;0.000278
3515.TW;ASROCK INC ORD;TAIWAN;TW;0.000273
STTE.NS;STERLITE TECHNOLOGIES LTD ORD;INDIA;IN;0.000242
JSMR.JK;JASA MARGA (PERSERO) TBK PT ORD;INDONESIA;ID;0.000606
TENr.AT;TERNA ENERGY SA ORD;GREECE;GR;0.000762
2231.TW;CUB ELECPARTS INC ORD;TAIWAN;TW;0.000251
6271.TW;TONG HSING ELECTRONIC INDUSTRIES LTD ORD;TAIWAN;TW;0.000802
TMGH.CA;TALAAT MOSTAFA GROUP HOLDING CO SAE ORD;EGYPT;EG;0.00034
EDEL.NS;EDELWEISS FINANCIAL SERVICES LTD ORD;INDIA;IN;0.000449
TTWf.BK;TTW PCL ORD;THAILAND;TH;0.000324
JYOI.NS;JYOTHY LABS LTD ORD;INDIA;IN;0.000701
TKFEN.IS;TEKFEN HOLDING AS ORD;TURKEY;TR;0.000209
0189.HK;DONGYUE GROUP LTD ORD;CHINA;CN;0.000972
8163.TW;DARFON ELECTRONICS CORP ORD;TAIWAN;TW;0.000275
8131.TW;FORMOSA ADVANCED TECHNOLOGIES CO LTD ORD;TAIWAN;TW;0.000078
5388.TW;SERCOMM CORP ORD;TAIWAN;TW;0.00092
ECLE.NS;ECLERX SERVICES LTD ORD;INDIA;IN;0.000586
3533.TW;LOTES CO LTD ORD;TAIWAN;TW;0.002487
3532.TW;FORMOSA SUMCO TECHNOLOGY CORP ORD;TAIWAN;TW;0.000358
BRIG.NS;BRIGADE ENTERPRISES LTD ORD;INDIA;IN;0.001021
051600.KS;KEPCO PLANT SERVICE & ENGINEERING CO LTD ORD;KOREA;KR;0.000481
ITMG.JK;INDO TAMBANGRAYA MEGAH TBK PT ORD;INDONESIA;ID;0.000583
AFKS.MM;AFK SISTEMA PAO ORD;RUSSIAN FEDERATION;RU;0
098460.KQ;KOHYOUNGTECHNOLOGYINC ORD;KOREA;KR;0.000584
3376.TW;SHIN ZU SHING CO LTD ORD;TAIWAN;TW;0.000537
8070.TW;CHANG WAH ELECTROMATERIALS INC ORD;TAIWAN;TW;0.000247
8112.TW;SUPREME ELECTRONICS CO LTD ORD;TAIWAN;TW;0.000826
RPOL.NS;RELIANCE POWER LTD ORD;INDIA;IN;0.000589
JAZK.KW;JAZEERA AIRWAYS CO KSCP ORD;KUWAIT;KW;0.00037
6153.TW;CAREER TECHNOLOGY MFG CO LTD ORD;TAIWAN;TW;0.000288
KNRL.NS;KNR CONSTRUCTIONS LTD ORD;INDIA;IN;0.000333
IRBI.NS;IRB INFRASTRUCTURE DEVELOPERS LTD ORD;INDIA;IN;0.000567
VGUA.NS;V GUARD INDUSTRIES LTD ORD;INDIA;IN;0.00056
091120.KQ;EM-TECH CO LTD ORD;KOREA;KR;0.000386
RAID.NS;RAIN INDUSTRIES LTD ORD;INDIA;IN;0.000281
0405.HK;YUEXIU REAL ESTATE INVESTMENT TRUST;HONG KONG;HK;0.000358
TITG.NS;TITAGARH RAIL SYSTEMS LTD ORD;INDIA;IN;0.00065
2636.TW;T3EX GLOBAL HOLDINGS CORP ORD;TAIWAN;TW;0.000225
NSEN.NS;NESCO LTD ORD;INDIA;IN;0.00018
HTHB.KL;HARTALEGA HOLDINGS BHD ORD;MALAYSIA;MY;0.000746
AFLT.MM;AEROFLOT-ROSSIYSKIYE AVIALINII PAO ORD;RUSSIAN FEDERATION;RU;0
AKCNS.IS;AKCANSA CIMENTO SANAYI VE TICARET AS ORD;TURKEY;TR;0.000169
AEFES.IS;ANADOLU EFES BIRACILIK VE MALT SANAYII AS ORD;TURKEY;TR;0.000881
0995.HK;ANHUI EXPRESSWAY CO LTD ORD;CHINA;CN;0.000414
AUTO.JK;ASTRA OTOPARTS TBK PT ORD;INDONESIA;ID;0.000111
AALI.JK;ASTRA AGRO LESTARI TBK PT ORD;INDONESIA;ID;0.000179
AYGAZ.IS;AYGAZ AS ORD;TURKEY;TR;0.000254
BATA.NS;BATA INDIA LTD ORD;INDIA;IN;0.001016
2836.TW;BANK OF KAOHSIUNG CO LTD ORD;TAIWAN;TW;0.000084
SPOR.KL;SPORTS TOTO BHD ORD;MALAYSIA;MY;0.000199
BRAP3.SA;BRADESPAR SA ORD;BRAZIL;BR;0.000121
BRAP4.SA;BRADESPAR SA;BRAZIL;BR;0.001177
0165.HK;CHINA EVERBRIGHT LTD ORD;HONG KONG;HK;0.000493
0308.HK;CHINA TRAVEL INTERNATIONAL INVESTMENT HONG KONG LTD ORD;HONG KONG;HK;0.000316
COCE5.SA;COMPANHIA ENERGETICA DO CEARA;BRAZIL;BR;0.000097
CTRA.JK;CIPUTRA DEVELOPMENT TBK PT ORD;INDONESIA;ID;0.000575
0506.HK;CHINA FOODS LTD ORD;HONG KONG;HK;0.00027
CAP.SN;CAP SA ORD;CHILE;CL;0.000468
CRSL.NS;CRISIL LTD ORD;INDIA;IN;0.000853
DTCJ.J;DATATEC LTD ORD;SOUTH AFRICA;ZA;0.000404
0861.HK;DIGITAL CHINA HOLDINGS LTD ORD;HONG KONG;HK;0.000187
ANDINAB.SN;EMBOTELLADORA ANDINA SA;CHILE;CL;0.000838
ENTEL.SN;EMPRESA NACIONAL DE TELECOMUNICACIONES SA ORD;CHILE;CL;0.000471
0038.HK;FIRST TRACTOR CO LTD ORD;CHINA;CN;0.000152
2441.TW;GREATEK ELECTRONICS INC ORD;TAIWAN;TW;0.00052
GCC.MX;GCC SAB DE CV ORD;MEXICO;MX;0.001782
1052.HK;YUEXIU TRANSPORT INFRASTRUCTURE LTD ORD;HONG KONG;HK;0.000488
HELr.AT;ELLAKTOR SA ORD;GREECE;GR;0.000173
HEPr.AT;HELLENIQ ENERGY HOLDINGS SA ORD;GREECE;GR;0.000444
0754.HK;HOPSON DEVELOPMENT HOLDINGS LTD ORD;HONG KONG;HK;0.000551
1060.HK;ALIBABA PICTURES GROUP LTD ORD;HONG KONG;HK;0.000621
JPFA.JK;JAPFA COMFEED INDONESIA TBK PT ORD;INDONESIA;ID;0.0003
KKPf.BK;KIATNAKIN PHATRA BANK PCL ORD;THAILAND;TH;0.000117
POMO4.SA;MARCOPOLO SA;BRAZIL;BR;0.00061
2439.TW;MERRY ELECTRONICS CO LTD ORD;TAIWAN;TW;0.000589
GOAU4.SA;METALURGICA GERDAU SA;BRAZIL;BR;0.001296
MTDL.JK;METRODATA ELECTRONICS TBK PT ORD;INDONESIA;ID;0.000105
MRPJ.J;MR PRICE GROUP LTD ORD;SOUTH AFRICA;ZA;0.001842
NTCJ.J;NETCARE LTD ORD;SOUTH AFRICA;ZA;0.000885
0182.HK;CONCORD NEW ENERGY GROUP LTD ORD;HONG KONG;HK;0.000513
OCEJ.J;OCEANA GROUP LTD ORD;SOUTH AFRICA;ZA;0.000289
OTKAR.IS;OTOKAR OTOMOTIV VE SAVUNMA SANAYI AS ORD;TURKEY;TR;0.000487
PWON.JK;PAKUWON JATI TBK PT ORD;INDONESIA;ID;0.00049
PNLF.JK;PANIN FINANCIAL TBK PT ORD;INDONESIA;ID;0.00018
PARAUCO.SN;PARQUE ARAUCO SA ORD;CHILE;CL;0.000918
LSIP.JK;PERUSAHAAN PERKEBUNAN LONDON SUMATRA INDONESIA TBK PT ORD;INDONESIA;ID;0.000062
PIKJ.J;PICK N PAY STORES LTD ORD;SOUTH AFRICA;ZA;0.00045
RCLf.BK;REGIONAL CONTAINER LINES PCL ORD;THAILAND;TH;0.000142
RLOJ.J;REUNERT LTD ORD;SOUTH AFRICA;ZA;0.000476
RTKM.MM;ROSTELEKOM PAO ORD;RUSSIAN FEDERATION;RU;0
SAPJ.J;SAPPI LTD ORD;SOUTH AFRICA;ZA;0.00123
2351.TW;SDI CORP ORD;TAIWAN;TW;0.000415
SMSM.JK;SELAMAT SEMPURNA TBK PT ORD;INDONESIA;ID;0.000233
SECB.PS;SECURITY BANK CORP ORD;PHILIPPINES;PH;0.000461
0363.HK;SHANGHAI INDUSTRIAL HOLDINGS LTD ORD;HONG KONG;HK;0.000503
900908.SS;SHANGHAI CHLOR-ALKALI CHEMICAL CO LTD ORD;CHINA;CN;0.000119
0719.HK;SHANDONG XINHUA PHARMACEUTICAL CO LTD ORD;CHINA;CN;0.000134
0697.HK;SHOUCHENG HOLDINGS LTD ORD;HONG KONG;HK;0.000364
0107.HK;SICHUAN EXPRESSWAY CO LTD ORD;CHINA;CN;0.000217
0934.HK;SINOPEC KANTONS HOLDINGS LTD ORD;HONG KONG;HK;0.000377
5478.TWO;SOFT-WORLD INTERNATIONAL CORP ORD;TAIWAN;TW;0.000302
SMRA.JK;SUMMARECON AGUNG TBK PT ORD;INDONESIA;ID;0.000329
TABK.PR;PHILIP MORRIS CR AS ORD;CZECH REPUBLIC;CZ;0.000286
1070.HK;TCL ELECTRONICS HOLDINGS LTD ORD;HONG KONG;HK;0.00026
OPL.WA;ORANGE POLSKA SA ORD;POLAND;PL;0.001114
TBSJ.J;TIGER BRANDS LTD ORD;SOUTH AFRICA;ZA;0.001587
2451.TW;TRANSCEND INFORMATION INC ORD;TAIWAN;TW;0.000523
2606.TW;U-MING MARINE TRANSPORT CORP ORD;TAIWAN;TW;0.00059
TRUJ.J;TRUWORTHS INTERNATIONAL LTD ORD;SOUTH AFRICA;ZA;0.00128
0710.HK;BOE VARITRONIX LTD ORD;HONG KONG;HK;0.000272
VESTL.IS;VESTEL ELEKTRONIK SANAYI VE TICARET AS ORD;TURKEY;TR;0.000187
ZEE.NS;ZEE ENTERTAINMENT ENTERPRISES LTD ORD;INDIA;IN;0.002456
EGCOn.BK;ELECTRIC GEN NVDR;THAILAND;TH;0.000743
SHUL4.SA;SCHULZ SA;BRAZIL;BR;0.000195
6147.TWO;CHIPBOND TECHNOLOGY CORP ORD;TAIWAN;TW;0.001228
3005.TW;GETAC HOLDINGS CORP ORD;TAIWAN;TW;0.001296
BECn.BK;BEC WORLD NVDR;THAILAND;TH;0.000067
3019.TW;ASIA OPTICAL CO INC ORD;TAIWAN;TW;0.000406
SRSr.AT;GR SARANTIS SA ORD;GREECE;GR;0.000286
SCMA.JK;SURYA CITRA MEDIA TBK PT ORD;INDONESIA;ID;0.000182
5904.TWO;POYA INTERNATIONAL CO LTD ORD;TAIWAN;TW;0.000766
AEONTSn.BK;AEON THANA SINSAP THAILAND PUBL NVDR;THAILAND;TH;0.000324
CNTY.NS;CENTURY TEXTILES AND INDUSTRIES LTD ORD;INDIA;IN;0.000534
QHn.BK;QUALITY HOUSES NVDR;THAILAND;TH;0.000071
STECn.BK;SINO-THAI ENGI NVDR;THAILAND;TH;0.000061
TASA4.SA;TAURUS ARMAS SA;BRAZIL;BR;0.000161
SIRIn.BK;SANSIRI NVDR;THAILAND;TH;0.000576
OROBLANCO.SN;SOCIEDAD DE INVERSIONES ORO BLANCO SA ORD;CHILE;CL;0.000279
1205.HK;CITIC RESOURCES HOLDINGS LTD ORD;HONG KONG;HK;0.000097
1164.HK;CGN MINING CO LTD ORD;HONG KONG;HK;0.000463
026960.KS;DONG SUH COMPANIES INC ORD;KOREA;KR;0.000513
039130.KS;HANATOUR SERVICE INC ORD;KOREA;KR;0.000401
SECURITY.SN;GRUPO SECURITY SA ORD;CHILE;CL;0.000347
THCOMn.BK;THAICOM NVDR;THAILAND;TH;0.000177
060280.KQ;CUREXO INC ORD;KOREA;KR;0.000261
BLANDn.BK;BANGKOK LAND NVDR;THAILAND;TH;0.000067
AKRA.JK;AKR CORPORINDO TBK PT ORD;INDONESIA;ID;0.000636
PGAS.JK;PERUSAHAAN GAS NEGARA TBK PT ORD;INDONESIA;ID;0.000659
0581.HK;CHINA ORIENTAL GROUP CO LTD ORD;HONG KONG;HK;0.000127
ARIJ.J;AFRICAN RAINBOW MINERALS LTD ORD;SOUTH AFRICA;ZA;0.001039
DOAS.IS;DOGUS OTOMOTIV SERVIS VE TICARET AS ORD;TURKEY;TR;0.000414
APIC.JK;PACIFIC STRATEGIC FINANCIAL TBK PT ORD;INDONESIA;ID;0.000476
1234.HK;CHINA LILANG LTD ORD;CHINA;CN;0.000115
100090.KS;SK OCEANPLANT CO LTD ORD;KOREA;KR;0.00041
TRCE.NS;RAMCO CEMENTS LIMITED ORD;INDIA;IN;0.001149
1212.SE;ASTRA INDUSTRIAL GROUP COMPANY SJSC ORD;SAUDI ARABIA;SA;0.001141
AIPJ.J;ADCOCK INGRAM HOLDINGS LTD ORD;SOUTH AFRICA;ZA;0.000249
6803.TWO;ECOVE ENVIRONMENT CORP ORD;TAIWAN;TW;0.000364
082640.KS;TONGYANG LIFE INSURANCE CO LTD ORD;KOREA;KR;0.000155
2001.SE;METHANOL CHEMICALS COMPANY SJSC ORD;SAUDI ARABIA;SA;0.000097
4736.TW;TAIDOC TECHNOLOGY CORP ORD;TAIWAN;TW;0.000234
ZFCV.NS;ZF COMMERCIAL VEHICLE CONTROL SYSTEMS INDIA LTD ORD;INDIA;IN;0.000741
HANAn.BK;HANA MICRO ELE NVDR;THAILAND;TH;0.000098
067630.KQ;HLB LIFE SCIENCE CO LTD ORD;KOREA;KR;0.000633
DANA.AD;DANA GAS PJSC ORD;UNITED ARAB EMIRATES;AE;0.001019
3383.HK;AGILE GROUP HOLDINGS LTD ORD;CHINA;CN;0.00021
2005.HK;SSY GROUP LTD ORD;HONG KONG;HK;0.00076
3393.HK;WASION HOLDINGS LTD ORD;HONG KONG;HK;0.000174
0095.HK;LVGEM (CHINA) REAL ESTATE INVESTMENT CO LTD ORD;HONG KONG;HK;0.000108
085660.KQ;CHABIOTECH CO LTD ORD;KOREA;KR;0.00057
084370.KQ;EUGENE TECHNOLOGY CO LTD ORD;KOREA;KR;0.000393
PVRL.NS;PVR INOX LTD ORD;INDIA;IN;0.00118
SPCGn.BK;SPCG NVDR;THAILAND;TH;0.000175
6005.TW;CAPITAL SECURITIES CORP ORD;TAIWAN;TW;0.000768
3406.TW;GENIUS ELECTRONIC OPTICAL CO LTD ORD;TAIWAN;TW;0.001018
023530.KS;LOTTE SHOPPING CO LTD ORD;KOREA;KR;0.000562
GSPT.NS;GUJARAT STATE PETRONET LTD ORD;INDIA;IN;0.000879
RYSAS.IS;REYSAS TASIMACILIK VE LOJISTIK TICARET AS ORD;TURKEY;TR;0.000239
MCGS.QA;MEDICARE GROUP QPSC ORD;QATAR;QA;0.000267
SUTV.NS;SUN TV NETWORK LTD ORD;INDIA;IN;0.000556
MMFS.NS;MAHINDRA AND MAHINDRA FINANCIAL SERVICES LTD ORD;INDIA;IN;0.00142
JKCE.NS;J K CEMENT LTD ORD;INDIA;IN;0.001286
KECL.NS;KEC INTERNATIONAL LTD ORD;INDIA;IN;0.000796
4200.SE;ALDREES PETROLEUM AND TRANSPORT SERVICES COMPANY SJSC ORD;SAUDI ARABIA;SA;0.001586
VESBE.IS;VESTEL BEYAZ ESYA SANAYI VE TICARET AS ORD;TURKEY;TR;0.000217
SELEC.IS;SELCUK ECZA DEPOSU TICARET VE SANAYI AS ORD;TURKEY;TR;0.00023
CNTP.NS;CENTURY PLYBOARDS (INDIA) LTD ORD;INDIA;IN;0.000369
GDPI.NS;GODAWARI POWER AND ISPAT LTD ORD;INDIA;IN;0.000401
KRBR.NS;KIRLOSKAR BROTHERS LTD ORD;INDIA;IN;0.000222
KEIN.NS;KEI INDUSTRIES LTD ORD;INDIA;IN;0.001953
TCAPf.BK;THANACHART CAPITAL PCL ORD;THAILAND;TH;0.000273
TCAPn.BK;THANACHART CAP NVDR;THAILAND;TH;0.000076
AGRO3.SA;BRASILAGRO BRAZILIAN AGRICULTURAL REAL ESTATE CO ORD;BRAZIL;BR;0.000235
032350.KS;LOTTE TOUR DEVELOPMENT CO LTD ORD;KOREA;KR;0.000219
RMT.NS;RATNAMANI METALS AND TUBES LTD ORD;INDIA;IN;0.000943
ACLL.NS;ALLCARGO LOGISTICS LTD ORD;INDIA;IN;0.000246
JSEJ.J;JSE LTD ORD;SOUTH AFRICA;ZA;0.00037
0272.HK;SHUI ON LAND LTD ORD;CHINA;CN;0.000296
KENI.BO;KENNAMETAL INDIA LTD ORD;INDIA;IN;0.000153
3899.HK;CIMC ENRIC HOLDINGS LTD ORD;CHINA;CN;0.000622
BBKP.JK;BANK KB BUKOPIN TBK PT ORD;INDONESIA;ID;0.000142
FRKN.KL;FRONTKEN CORPORATION BHD ORD;MALAYSIA;MY;0.000633
