,Date,Index_Component_Count,Internal_Number,ISIN,Instrument_Name,Country,Currency,ICB,Capfactor,Free_Float,Mcap_Units_Index_Currency,Weight,SEDOL
32380,2023-12-18,2054,AE23IB,AEE001901017,EMAAR DEVELOPMENT PJSC,AE,AED,35101010.0,1.0,0.2084,1620600843.0,0.0011649281416444071,BDG1977
32381,2023-12-18,2054,AE301S,AEE01110S227,SALIK COMPANY,AE,AED,50206060.0,1.0,0.249,1581397880.0,0.001136748078039106,BJN5952
32382,2023-12-18,2054,AE20XN,AEN000401010,NATMARINE DREDGING CO,AE,AED,50101010.0,1.0,0.2489,1515194093.0,0.0010891591514426188,6625838
32383,2023-12-18,2054,BR00FH,BRBRFSACNOR8,BRF SA,BR,BRL,45102020.0,1.0,0.4243,2008329894.0,0.0014436374146859117,2036995
32384,2023-12-18,2054,IN10BH,INE811K01011,Prestge Ests,IN,INR,35101010.0,1.0,0.4387,2411615844.0,0.0017335293731617096,B4T3LF9
32385,2023-12-18,2054,AE303U,AEE01134E227,EMIRATES CENTRAL COOLING SYSTEMS,AE,AED,50101025.0,1.0,0.2,925761400.0,0.0006654602902166481,BPYSVC3
32386,2023-12-18,2054,EG8013,EGS39061C014,MISR FRETILIZERS,EG,EGP,55201015.0,1.0,0.1662,645131190.0,0.00046373632441924187,BWSW8F2
32387,2023-12-18,2054,IN104A,INE002L01015,Satluj Jal Vid,IN,INR,65101010.0,1.0,0.1815,800409514.0,0.0005753542408212378,B3Y50F6
32388,2023-12-18,2054,ZA00MV,ZAE000015228,HARMONY GOLD MNG.,ZA,ZAR,55103025.0,0.7448494,0.7524,2068137539.0,0.0014866286355327456,6410562
32389,2023-12-18,2054,MX024P,MX01PI000005,Promotora y Opr,MX,MXN,50101010.0,0.9881024,0.4959,1960725757.0,0.0014094183785243984,2393388
32390,2023-12-18,2054,TW117Y,TW0003036000,WT Microelectron,TW,TWD,10102010.0,1.0,0.5546,2020668029.0,0.0014525063726029647,6290991
32391,2023-12-18,2054,MX11M7,MX01Q0000008,QUALITAS CONTROLADORA,MX,MXN,30302025.0,1.0,0.4947,1933195724.0,0.0013896291069584702,BYMXF65
32392,2023-12-18,2054,IN11IP,INE342J01019,ZF COMMERCIAL VEHICLE CNTRL IN,IN,INR,40101025.0,1.0,0.25,885142068.0,0.0006362621053915664,B3DGKJ4
32393,2023-12-18,2054,IN616I,INE930H01031,KPR MILL,IN,INR,55101020.0,1.0,0.3589,1255335685.0,0.0009023664728940035,BMDP7V5
32394,2023-12-18,2054,IN047G,INE061F01013,Fortis Healthcar,IN,INR,20101010.0,1.0,0.6883,2453330522.0,0.0017635149198999664,B1XC098
32395,2023-12-18,2054,AE22B3,AEA003001012,AIR ARABIA,AE,AED,40501010.0,0.4878831,0.5612,932391402.0,0.0006702261003433794,B23DL40
32396,2023-12-18,2054,SA238F,SA121053DR18,SAUDI MOBILE TELECOM,SA,SAR,15102015.0,0.5803018,0.6295,1230394095.0,0.0008844378384533531,B2QG180
32397,2023-12-18,2054,IN50Y8,INE823G01014,JK CEMENT,IN,INR,50101030.0,1.0,0.4455,1627966911.0,0.0011702230542958046,B0CJ800
32398,2023-12-18,2054,MX802T,MX01GC2M0006,GCC,MX,MXN,50101030.0,1.0,0.4912,1907400361.0,0.001371086759277714,2946663
32399,2023-12-18,2054,IN01TZ,INE438A01022,Apollo Tyres,IN,INR,40101015.0,1.0,0.502,1738217206.0,0.0012494737049571641,6168902
32400,2023-12-18,2054,IN0BN3,INE741K01010,CREDITACCESS GRAMEEN,IN,INR,30201020.0,1.0,0.2766,895601013.0,0.0006437802548575735,BYVKG53
32401,2023-12-18,2054,EG20EA,EGS38191C010,ABOU KIR FERTILIZERS,EG,EGP,55201015.0,1.0,0.2244,715703363.0,0.0005144653553831593,6005474
32402,2023-12-18,2054,IN06S3,INE115A01026,LIC Housing,IN,INR,30201025.0,1.0,0.5476,1927265186.0,0.0013853660889296122,6101026
32403,2023-12-18,2054,BR02Y2,BREMBRACNOR4,Embraer,BR,BRL,50201010.0,1.0,0.9463,3318100383.0,0.0023851329768546747,B16FPG6
32404,2023-12-18,2054,BR02JN,BRCPLEACNPB9,COPEL - CIA PR DE ENERGIA,BR,BRL,65101010.0,1.0,0.6192,2085043710.0,0.0014987812111965314,2200154
32405,2023-12-18,2054,IN0A1G,INE424H01027,Sun TV network,IN,INR,40301035.0,1.0,0.25,820743398.0,0.0005899707417337533,B128WL3
32406,2023-12-18,2054,AE2280,AED000901010,DUBAI FINANCIAL MARKET,AE,AED,30202015.0,1.0,0.1934,585573426.0,0.00042092472424224743,B1GPBP7
32407,2023-12-18,2054,MX406T,MX01VE0M0003,VESTA,MX,MXN,35101010.0,1.0,1.0,3313467706.0,0.002381802893551461,B8F6ZF8
32408,2023-12-18,2054,IN50W6,INE387A01021,SUNDRAM FASTENERS,IN,INR,40101025.0,1.0,0.5164,1646709412.0,0.0011836956295779948,6730895
32409,2023-12-18,2054,IN80DQ,INE298J01013,NIPPON LIFE INDIA ASSET MGM,IN,INR,30202010.0,1.0,0.2043,683799266.0,0.0004915318979623593,BF29PR1
32410,2023-12-18,2054,IN50OY,INE703B01027,RATNAMANI METALS & TUBES,IN,INR,55102015.0,1.0,0.7285,2100214038.0,0.001509686019793608,6313627
32411,2023-12-18,2054,IN811F,INE878B01027,KEI INDUSTRIES,IN,INR,50202010.0,1.0,0.7403,2445387410.0,0.0017578052136876061,B1L9PJ6
32412,2023-12-18,2054,IN30KS,INE474Q01031,GLOBAL HEALTH,IN,INR,20101010.0,1.0,0.3318,991372325.0,0.0007126230528808537,BN960L0
32413,2023-12-18,2054,IN18V9,INE732I01013,ANGEL ONE,IN,INR,30202015.0,1.0,0.5173,1752781833.0,0.0012599431206298387,BMCMVV5
32414,2023-12-18,2054,MX504S,MX01OM000018,GRUPO AERO DEL CENTRO 'B',MX,MXN,50206060.0,0.3662669,0.808,1083476870.0,0.0007788300877021072,B1KFX13
32415,2023-12-18,2054,SA23GN,SA1230K1UGH7,ABDULLAH AL OTHAIM MKTS,SA,SAR,45201010.0,0.6151063,0.6633,1288068631.0,0.0009258957275645978,B3BQB93
32416,2023-12-18,2054,IN60U5,INE410P01011,NARAYANA HRUDAYALAYA,IN,INR,20101010.0,1.0,0.3758,1090528712.0,0.0007838991268993365,BD0CSH9
32417,2023-12-18,2054,BR906H,BRALOSACNOR5,ALLOS,BR,BRL,35101010.0,1.0,0.8139,2523305511.0,0.001813814680170644,BMHVKZ4
32418,2023-12-18,2054,IN30EM,INE031B01049,AJANTA PHARMA,IN,INR,20103015.0,1.0,0.3647,1044803285.0,0.0007510305541529462,BWFGD74
32419,2023-12-18,2054,QA20MO,QA0007227695,QATAR NAVIGATION,QA,QAR,50206030.0,1.0,0.8625,2668803117.0,0.0019184019735213793,6148205
32420,2023-12-18,2054,KR22S7,KR7403870009,HPSP,KR,KRW,10102020.0,1.0,0.4066,1171345868.0,0.0008419925061288488,BPDWY61
32421,2023-12-18,2054,IN0B9P,INE256A01028,Zee Entrtainment,IN,INR,40301035.0,1.0,0.9488,3078181956.0,0.002212673651957631,6188535
32422,2023-12-18,2054,IN041A,INE302A01020,Exide Industries,IN,INR,50205010.0,1.0,0.5401,1687972359.0,0.0012133564608524617,B1D3ZC9
32423,2023-12-18,2054,IN025C,INE462A01022,BayerCrop,IN,INR,55201015.0,1.0,0.32,942948727.0,0.000677814967797144,6716992
32424,2023-12-18,2054,QA20UW,QA000A0KD6J5,BARWA REAL ESTATE,QA,QAR,35101010.0,1.0,0.55,1598821300.0,0.0011492724651325477,B0YTG26
32425,2023-12-18,2054,MX109T,US92837L1098,VISTA ENERGY ADR,MX,USD,60101010.0,1.0,0.9429,2731396665.0,0.001963395770646394,BJ84772
32426,2023-12-18,2054,MX302O,MXP001391012,ALSEA,MX,MXN,40501040.0,1.0,0.6278,1833055748.0,0.0013176460047344542,2563017
32427,2023-12-18,2054,BR10X0,BRGMATACNOR7,GRUPO MATEUS ON,BR,BRL,40401010.0,1.0,0.209,621932559.0,0.000447060572202862,BN7JD67
32428,2023-12-18,2054,MX204P,MX01R0000006,REGIONAL S.A.B. DE C.V.,MX,MXN,30101010.0,1.0,0.4,1224375470.0,0.0008801115013008157,BG1Z6X0
32429,2023-12-18,2054,IN07NZ,INE589A01014,NLC INDIA,IN,INR,65101015.0,1.0,0.208,701771141.0,0.0005044505281334135,6374895
32430,2023-12-18,2054,IN07GS,INE331A01037,RAMCO CEMENTS,IN,INR,50101030.0,1.0,0.5545,1599924450.0,0.001150065436754774,6698153
32431,2023-12-18,2054,IN70O0,INE913H01037,ENDURANCE TECHNOLOGIES,IN,INR,40101025.0,1.0,0.25,751486121.0,0.0005401868906766291,BYZ02R3
32432,2023-12-18,2054,TW02OF,TW0002313004,Compeq Mftg,TW,TWD,10102015.0,1.0,1.0,2726204978.0,0.0019596638570693816,6215273
32433,2023-12-18,2054,IN60ZA,INE572A01036,JB CHEMICALS & PHARMS.,IN,INR,20103015.0,1.0,0.4614,1267055435.0,0.0009107909203123842,BNQNGS3
32434,2023-12-18,2054,TW11B2,TW0001477008,Makalot,TW,TWD,40204020.0,1.0,1.0,2712062036.0,0.0019494975590493549,6580432
32435,2023-12-18,2054,SA2239,SA000A0EAXM3,SAUDIA DAIRY & FDSF,SA,SAR,45102020.0,0.836722,0.482,1152937999.0,0.0008287604726405114,B133P41
32436,2023-12-18,2054,IN12IQ,INE536A01023,Grindwell Norton,IN,INR,55101000.0,1.0,0.484,1411020561.0,0.0010142766289723438,B156WQ9
32437,2023-12-18,2054,IN05KU,INE530B01024,IIFL FINANCE,IN,INR,30201020.0,1.0,0.6079,1800335558.0,0.0012941259193935187,B0838V7
32438,2023-12-18,2054,BR171B,BRSMFTACNOR1,SMARTFIT ESCOLA SA COM NPV,BR,BRL,40501030.0,1.0,0.4227,1265802901.0,0.0009098905677602621,BF4XNJ9
32439,2023-12-18,2054,TW03JB,TW0002388006,VIA TECHNOLOGIES,TW,TWD,10102010.0,1.0,0.4782,1161120771.0,0.0008346424524140217,6146823
32440,2023-12-18,2054,IN09N1,INE640A01023,SKF India Ltd,IN,INR,50204000.0,1.0,0.4782,1335290611.0,0.0009598400597817378,6411510
32441,2023-12-18,2054,IN10U0,INE120A01034,Carborundum Univ,IN,INR,55101000.0,1.0,0.6901,1879057404.0,0.001350713137747568,B6X5768
32442,2023-12-18,2054,IN60FQ,INE600L01024,DR LAL PATHLABS,IN,INR,20102020.0,1.0,0.4923,1247890930.0,0.0008970149980724222,BYY2W03
32443,2023-12-18,2054,IN05T3,INE821I01022,IRB Infrast Dvlp,IN,INR,50101010.0,1.0,0.25,771952386.0,0.0005548985503402863,BMTY040
32444,2023-12-18,2054,IN08AN,INE140A01024,PIRAMAL ENTERPRISES,IN,INR,30201020.0,1.0,0.5357,1394410984.0,0.0010023372524431476,B058J56
32445,2023-12-18,2054,KR22L0,KR7277810008,RAINBOW ROBOTICS,KR,KRW,50204000.0,1.0,0.4287,1166692333.0,0.0008386474295771224,BM9Q3J2
32446,2023-12-18,2054,TW04YR,TW0002812005,Taichung Comm Bk,TW,TWD,30101010.0,1.0,0.73,1943996293.0,0.0013973928242416113,6869971
32447,2023-12-18,2054,IN0BJZ,INE325A01013,TIMKEN INDIA,IN,INR,50204000.0,1.0,0.423,1218732330.0,0.0008760550720933188,6143857
32448,2023-12-18,2054,IN04LU,INE935A01035,Glenmark Phrm,IN,INR,20103015.0,1.0,0.5455,1514378052.0,0.001088572560901375,6698755
32449,2023-12-18,2054,IN0BBR,INE763G01038,ICICI SECURITIES,IN,INR,30202015.0,1.0,0.2522,715787886.0,0.000514526112615109,BF2LT08
