,Date,Index_Component_Count,Internal_Number,ISIN,Instrument_Name,Country,Currency,ICB,Capfactor,Free_Float,Mcap_Units_Index_Currency
50787,2023-12-18,1148,CN2Y98,CNE100002GK7,G BITS NET.TECH.XIAMEN 'A' (CCS),CN,CNY,40203040.0,0.1019714,0.5884,161310180.0
50871,2023-12-18,1148,CN3035,CNE100002RH0,XINFENGMING GROUP 'A' (CCS),CN,CNY,55201010.0,0.1309472,0.4582,171132101.0
51022,2023-12-18,1148,CN353A,CNE100003ZJ7,CHINA SUNTIEN GREEN ENERGY 'A' (CCS),CN,CNY,65102020.0,0.2,0.1232,65790574.0
51463,2023-12-18,1148,CN91LU,HK0000056256,CHINA TRADITIONAL CHI MEDICINE,CN,HKD,20103015.0,1.0,0.5554,1424287344.0
51103,2023-12-18,1148,CN33OT,CNE0000010Y1,Cnhtc Truck 'A' (CCS),CN,CNY,50206015.0,0.122449,0.49,134816444.0
51074,2023-12-18,1148,CN2XIG,CNE100000SM2,GUANGZHOU ZHUJIANG BREW. 'A' (CCS),CN,CNY,45101010.0,0.2,0.1586,77077643.0
50857,2023-12-18,1148,CN2QH8,CNE100000M47,TAIJI COMPUTER 'A' (CCS),CN,CNY,10101010.0,0.0935308,0.6415,161644779.0
51118,2023-12-18,1148,CN2MK7,CNE100000S58,ZHENGZHOU COAL MNG.MCH. GP.'A' (CCS),CN,CNY,50204020.0,0.0852515,0.7038,154805751.0
51134,2023-12-18,1148,CN2GVC,CNE1000008K2,SHANGHAI STONEHILL TECHNOLOGY (CCS),CN,CNY,10101015.0,0.0664305,0.9032,152191390.0
50843,2023-12-18,1148,CN2GK1,CNE0000014B1,Newland 'A' (CCS),CN,CNY,10101015.0,0.0856287,0.7007,166877824.0
51188,2023-12-18,1148,CN2TKE,CNE000000XH3,Shunxin 'A' (CCS),CN,CNY,45101015.0,0.0960154,0.6249,127926461.0
51132,2023-12-18,1148,CN2WYV,CNE000000FB3,Wanxiang 'A' (CCS),CN,CNY,40101025.0,0.1665279,0.3603,147308338.0
51455,2023-12-18,1148,CN87P3,KYG2110A1114,CHINASOFT INTERNATIONAL,CN,HKD,10101010.0,1.0,0.8064,1867868164.0
51097,2023-12-18,1148,CN2TMG,CNE100000CT1,ZHEJIANG CRYSTAL OPTECH 'A' (CCS),CN,CNY,10102015.0,0.0699138,0.8582,145770398.0
51093,2023-12-18,1148,CN30GI,CNE000001DZ5,SHENGHE RESOURCES HDG. 'A' (CCS),CN,CNY,55102000.0,0.0813449,0.7376,142300062.0
51090,2023-12-18,1148,CN32W0,CNE100000643,Beijing BDStar 'A' (CCS),CN,CNY,15101010.0,0.0875401,0.6854,141960175.0
51140,2023-12-18,1148,CN3C9N,CNE100001D21,GUOSHENG FINL.HLDG.'A' (CCS),CN,CNY,30202000.0,0.1881468,0.3189,150096247.0
51102,2023-12-18,1148,CN31PS,CNE1000026G2,QIANHE CONDIMENT &.FOOD 'A' (CCS),CN,CNY,45102020.0,0.1195695,0.5018,134285047.0
51094,2023-12-18,1148,CN2KH2,CNE000000Q29,CHINA MEHECO GROUP 'A' (CCS),CN,CNY,20103015.0,0.1233806,0.4863,142708052.0
51438,2023-12-18,1148,CN2CR4,HK0000658531,SIMCERE PHARMACEUTICAL GROUP,CN,HKD,20103015.0,1.0,0.4082,898193674.0
